A1,Cereal and Cereal products,,,,,,,,,,,,
,,,,,,,,,,,,,
,Amino Acids,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS
,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,,
1,Biscuit ,122.0,256.0,334.0,632.0,258.0,159.0,198.0,452.0,274.0,387.0,366.0,198.0
2,Bread roll,102.0,248.0,338.0,616.0,205.0,158.0,192.0,436.0,250.0,382.0,320.0,191.0
3,"Bread, white",102.0,248.0,338.0,616.0,205.0,158.0,192.0,436.0,250.0,382.0,320.0,191.0
6,Cake,58.0,169.0,209.0,365.0,217.0,107.0,92.0,236.0,169.0,237.0,212.0,109.0
7,Cookie,70.0,179.0,230.0,390.0,256.0,110.0,104.0,250.0,175.0,263.0,221.0,112.0
8,Donut,70.0,179.0,230.0,390.0,256.0,110.0,104.0,250.0,175.0,263.0,221.0,112.0
9,"Infant cereal, Cerelac",184.0,581.0,752.0,1288.0,873.0,344.0,193.0,705.0,597.0,904.0,763.0,359.0
33,Macaroni or spaghetti,127.0,281.0,357.0,710.0,228.0,183.0,219.0,520.0,312.0,415.0,417.0,230.0
10,"Maize, cracked, cooked",171.0,353.0,515.0,913.0,255.0,207.0,375.0,647.0,350.0,568.0,493.0,272.0
11,"Maize, dried, raw",19.0,101.0,96.0,329.0,75.0,56.0,48.0,132.0,109.0,136.0,134.0,82.0
12,"Maize, flour, dry",57.0,305.0,291.0,996.0,228.0,170.0,146.0,399.0,330.0,411.0,405.0,248.0
13,"Maize, green, cooked",57.0,305.0,291.0,996.0,228.0,170.0,146.0,399.0,330.0,411.0,405.0,248.0
14,"Maize, on the cob, immature",52.0,303.0,303.0,816.0,321.0,157.0,62.0,85.0,287.0,435.0,308.0,207.0
15,"Maize, yellow, flour",13.0,73.0,73.0,197.0,78.0,38.0,15.0,85.0,69.0,105.0,74.0,50.0
16,"Millet, bulrush",57.0,305.0,291.0,996.0,228.0,170.0,146.0,399.0,330.0,411.0,405.0,248.0
17,"Millet, finger, grain or flour",205.0,446.0,484.0,1395.0,353.0,279.0,205.0,539.0,372.0,614.0,558.0,260.0
34,Mixed porridge flour (maize and oil),178.0,349.0,448.0,840.0,318.0,200.0,278.0,596.0,365.0,537.0,552.0,282.0
19,Mixed porridge flour (no maize),159.2,514.0,598.0,1251.8,595.3,239.8,185.0,693.8,509.0,707.0,1029.5,348.7
18,Mixed porridge flour (with maize),94.0,225.0,421.0,727.0,252.0,221.0,131.0,326.0,232.0,505.0,316.0,137.0
20,"Porridge, fermented",132.0,419.7,480.1,1203.5,361.6,201.4,172.7,622.2,425.3,606.1,922.9,288.5
22,"Rice, flour, local",72.0,217.0,244.0,488.0,207.0,144.0,137.0,317.0,314.0,348.0,516.0,149.0
21,"Rice, fried and boiled",192.1,655.3,701.0,1420.8,801.0,258.3,266.4,868.8,654.7,816.2,1438.5,452.6
23,"Rice, white, grain, raw",75.0,263.0,281.0,538.0,235.0,153.0,133.0,318.0,217.0,397.0,542.0,153.0
35,Semolina,127.0,281.0,357.0,710.0,228.0,183.0,219.0,520.0,312.0,415.0,417.0,230.0
24,Sorghum,78.0,238.0,288.0,552.0,241.0,157.0,137.0,356.0,224.0,406.0,554.0,157.0
26,"Sorghum, flour",78.0,237.0,287.0,550.0,240.0,156.0,137.0,354.0,223.0,405.0,552.0,156.0
27,"Vermicelli, uncooked",114.0,346.0,398.0,1372.0,206.0,169.0,132.0,502.0,295.0,516.0,327.0,226.0
29,"Wheat, flour, whole grain",212.0,395.0,508.0,926.0,378.0,212.0,317.0,646.0,400.0,618.0,542.0,317.0
28,"Wheat,dough, deep fried",124.0,346.0,433.0,1491.0,229.0,169.0,127.0,546.0,321.0,561.0,355.0,246.0
30,"Wheat, flour, 72% extract",89.0,197.0,250.0,497.0,160.0,128.0,153.0,364.0,218.0,291.0,292.0,161.0
31,"Wheat, flour, maida",127.0,281.0,357.0,710.0,228.0,183.0,219.0,520.0,312.0,415.0,417.0,230.0
,,,,,,,,,,,,,
A2,Cereal-based local dishes,,,,,,,,,,,,
,,,,,,,,,,,,,
,Amino Acids,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS
,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg
534,Cake (home made),45.0,140.5,166.3,285.8,178.3,91.0,81.0,190.2,131.9,188.5,115.2,46.1
513,Chapati (Dry),63.5,141.0,180.6,312.5,330.7,100.3,47.4,156.9,134.9,430.0,267.4,135.6
