F1,Fruits and Fruit juice,,,,,,,,,,
,Minerals,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN
,, mg, mg, mg, mg, mg, mg, mg, mg, mg, mg
129,"Apples, raw, with skin",6.0,11.0,5.0,107.0,1.0,0.1,0.0,0.0,0.0,0.0
101,"Avocado, raw, all common variety",12.0,52.0,29.0,599.0,7.0,0.6,0.0,0.6,0.2,0.1
102,"Banana, ripe",5.0,22.0,27.0,358.0,1.0,0.3,0.0,0.2,0.1,0.3
103,"Baobab, pulp",36.0,199.0,46.0,1221.0,3.0,1.9,0.0,0.3,0.7,0.3
365,"Breadfruit, raw",17.0,30.0,25.0,490.0,2.0,0.5,0.0,0.1,0.1,0.1
131,"Custard-apple (bullock's heart), raw",23.0,23.4,60.0,414.0,9.0,0.7,0.0,1.4.,2.4,0.3
133,"Date, red, dried",39.0,78.0,26.0,601.0,10.0,1.7,0.0,0.2,0.3,0.3
134,"Date, yellow",10.0,10.0,7.0,163.0,0.0,0.3,0.0,0.0,0.1,0.1
130,Durian,6.0,39.0,30.0,436.0,2.0,0.4,0.0,0.3,0.2,0.3
104,Grape,7.0,7.0,5.0,107.0,0.0,0.2,0.0,0.0,0.0,0.1
135,Grapefruit,12.0,8.0,9.0,148.0,0.0,0.06,0.0,0.07,0.05,0.01
105,"Grapes, pale green",7.0,7.0,5.0,115.0,0.0,0.2,0.0,0.0,0.0,0.1
106,"Guavas, common, raw",18.0,40.0,22.0,417.0,2.0,0.3,0.0,0.2,0.2,0.2
107,"Jackfruit, raw",34.0,36.0,37.0,303.0,3.0,0.6,0.0,0.4,0.2,0.2
109,"Lemon, raw, without peel",26.0,16.0,8.0,138.0,2.0,0.6,0.0,0.1,0.0,0.0
110,"Limes, raw",26.0,16.0,8.0,138.0,2.0,0.6,0.0,0.1,0.0,0.0
111,Mango juice,4.0,5.0,4.0,66.0,1.0,0.0,0.0,0.0,0.1,0.0
112,"Mango, ripe, fresh-EP",10.0,11.0,9.0,156.0,2.0,0.1,0.0,0.0,0.1,0.0
113,"Mango, unripe",10.0,11.0,9.0,156.0,2.0,0.1,0.0,0.0,0.1,0.0
108,"Orange juice, concentrated, unsweetened",40.0,14.0,10.0,181.0,0.0,0.1,0.0,0.1,0.1,0.0
114,"Orange, raw - AP",40.0,14.0,10.0,181.0,0.0,0.1,0.0,0.1,0.1,0.0
