A1,Cereal and Cereal products,,,,,,,,,,,,
,,,,,,,,,,,,,
,Vitamins,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
,,µ g RE,µ g RE,µ gm ,µ gm ,mg,mg,mg,mg,mg,µ g L68,µ g ,mg
1,Biscuit ,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.1,0.0,31.0,0.0,0.5
2,Bread roll,0.0,0.0,0.0,0.0,0.0,0.6,0.2,2.8,0.0,31.0,0.0,0.4
3,"Bread, white",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.0,31.0,0.0,0.4
6,Cake,34.0,34.0,0.0,1.0,0.0,0.0,0.1,0.3,0.0,10.0,0.2,0.3
7,Cookie,27.0,0.0,0.0,3.0,0.0,0.0,0.1,1.0,0.1,12.0,0.1,0.3
8,Donut,27.0,0.0,0.0,3.0,0.0,0.0,0.1,1.0,0.1,12.0,0.1,0.3
9,"Infant cereal, Cerelac",3.0,3.0,0.0,0.0,3.0,0.2,0.4,1.2,0.2,18.0,1.0,1.8
33,Macaroni or spaghetti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Maize, cracked, cooked",0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.2,0.1,8.0,0.0,0.1
11,"Maize, dried, raw",0.0,0.0,0.0,1.0,0.0,0.4,0.2,3.6,0.3,25.0,0.0,0.4
12,"Maize, flour, dry",0.0,0.0,0.0,1.0,0.0,0.4,0.2,3.6,0.3,25.0,0.0,0.4
13,"Maize, green, cooked",0.0,0.0,0.0,0.0,14.0,0.5,0.2,3.6,0.1,105.0,0.0,2.0
14,"Maize, on the cob, immature",7.0,0.0,0.0,0.0,3.0,0.1,0.0,0.9,0.0,25.0,0.0,0.5
15,"Maize, yellow, flour",11.0,0.0,0.0,0.4,0.0,0.4,0.2,3.6,0.3,25.0,0.0,0.4
16,"Millet, bulrush",20.0,0.0,0.0,0.0,0.0,0.3,0.2,2.1,0.3,32.0,0.0,0.5
17,"Millet, finger, grain or flour",5.0,0.0,0.0,0.0,0.0,0.3,0.1,0.8,0.2,10.0,0.0,0.4
34,Mixed porridge flour (maize and oil),0.6,0.0,0.0,2.8,0.6,0.3,0.2,2.8,0.2,63.0,0.0,0.8
19,Mixed porridge flour (no maize),3.5,0.0,0.0,2.3,0.0,0.2,0.1,4.2,0.2,32.9,0.0,0.9
18,Mixed porridge flour (with maize),2.3,0.0,0.0,1.6,0.3,0.2,0.1,2.8,0.1,39.0,0.0,0.6
20,"Porridge, fermented",0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,3.0,0.0,0.1
22,"Rice, flour, local",0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,0.1,6.0,0.0,1.2
21,"Rice, fried and boiled",87.0,0.0,0.0,0.0,19.0,0.1,0.1,0.9,0.1,16.0,0.0,0.5
23,"Rice, white, grain, raw",0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,0.1,6.0,0.0,1.1
35,Semolina,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.1,0.0,18.0,0.0,0.4
24,Sorghum,6.0,0.0,0.0,1.0,0.0,0.2,0.1,2.2,0.2,11.0,0.0,0.8
26,"Sorghum, flour",7.0,0.0,0.0,1.0,0.0,0.3,0.1,2.8,0.2,14.0,0.0,0.9
27,Vermicelli - uncooked,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.1,0.1,20.0,0.0,0.3
29,"Wheat, flour, whole grain",0.0,0.0,0.0,0.0,0.0,0.4,0.2,6.4,0.3,34.0,0.0,1.0
28,"Wheat,dough, deep fried",0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,13.0,0.0,0.3
30,"Wheat, flour, 72% extract",0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.1,0.0,18.0,0.0,0.4
31,"Wheat, flour, maida",0.0,0.0,0.0,1.0,0.0,0.3,0.1,3.8,0.2,26.0,0.0,0.7
A2,Cereal-based local dishes,,,,,,,,,,,,
,,,,,,,,,,,,,
